,881001.WI,000001.SH,HSTECH.HI,399102.SZ,000300.SH
2009/8/31,2460.324,2817.629,,,3003.543
2009/9/1,2290.3669,2649.168,,,2804.584
2009/9/2,2294.5708,2681.33,,,2824.641
2009/9/3,2321.7961,2722.305,,,2898.449
2009/9/4,2439.8274,2841.171,,,3055.347
2009/9/7,2464.2466,2877.622,,,3097.789
2009/9/8,2487.3386,2865.695,,,3084.199
2009/9/9,2535.074,2944.174,,,3188.311
2009/9/10,2550.4365,2934.958,,,3179.187
2009/9/11,2526.4753,2917.193,,,3152.815
2009/9/14,2581.6362,2990.933,,,3248.348
2009/9/15,2629.2842,3029.097,,,3298.81
2009/9/16,2641.1228,3027.506,,,3290.387
2009/9/17,2618.2334,3015.586,,,3274.582
2009/9/18,2669.7319,3063.309,,,3325.061
2009/9/21,2579.6609,2937.926,,,3163.512
2009/9/22,2597.3918,2956.129,,,3196.009
2009/9/23,2539.2256,2897.808,,,3130.142
2009/9/24,2480.3601,2824.583,,,3041.82
2009/9/25,2482.1772,2836.699,,,3057.106
2009/9/28,2462.6953,2844.37,,,3066.368
2009/9/29,2398.6887,2763.764,,,2975.531
2009/9/30,2381.9404,2772.569,,,2992.98
2009/10/9,2406.5757,2840.131,,,3078.753
2009/10/12,2524.8125,2927.021,,,3181.581
2009/10/13,2521.8665,2889.788,,,3144.022
2009/10/14,2559.8716,2945.669,,,3209.065
2009/10/15,2582.9204,2994.89,,,3258.546
2009/10/16,2590.6694,2992.745,,,3250.102
2009/10/19,2591.2881,2974.644,,,3238.848
2009/10/20,2652.0996,3062.551,,,3355.358
2009/10/21,2691.3518,3080.52,,,3375.027
2009/10/22,2680.6519,3068.678,,,3364.145
2009/10/23,2669.231,3057.387,,,3354.984
2009/10/26,2716.1458,3114.294,,,3421.696
2009/10/27,2716.3091,3086.091,,,3384.294
2009/10/28,2644.3188,3014.182,,,3303.773
2009/10/29,2656.7363,2975.199,,,3265.186
2009/10/30,2598.5413,3007.25,,,3305.376
2009/11/2,2631.8694,2933.817,,,3205.835
2009/11/3,2712.1897,3085.744,,,3402.528
2009/11/4,2747.9316,3119.313,,,3443.517
2009/11/5,2763.1917,3133.505,,,3458.865
2009/11/6,2783.9746,3176.137,,,3491.075
2009/11/9,2792.7505,3162.146,,,3487.107
2009/11/10,2805.3755,3203.171,,,3520.395
2009/11/11,2812.5911,3176.311,,,3500.586
2009/11/12,2812.2412,3181.457,,,3506.952
2009/11/13,2814.8062,3164.65,,,3489.538
2009/11/16,2832.8015,3206.428,,,3541.053
2009/11/17,2908.8071,3291.044,,,3644.962
2009/11/18,2916.7578,3287.265,,,3633.851
2009/11/19,2932.8501,3311.188,,,3638.073
2009/11/20,2950.7432,3309.376,,,3630.576
2009/11/23,2944.5063,3312.974,,,3636.529
2009/11/24,2976.0454,3352.22,,,3680.746
2009/11/25,2867.0957,3214.815,,,3541.512
2009/11/26,2934.5142,3296.014,,,3635.79
2009/11/27,2823.1077,3137.297,,,3440.343
2009/11/30,2757.782,3114.29,,,3415.077
2009/12/1,2855.1345,3191.058,,,3507.559
2009/12/2,2901.8079,3252.979,,,3578.869
2009/12/3,2934.136,3267.995,,,3596.952
2009/12/4,2932.4329,3256.614,,,3581.627
2009/12/7,2950.3362,3313.06,,,3644.625
2009/12/8,2972.4902,3330.326,,,3670.807
2009/12/9,2947.2083,3258.003,,,3579.282
2009/12/10,2901.2964,3258.354,,,3579.826
2009/12/11,2917.0291,3260.448,,,3589.408
2009/12/14,2912.7725,3246.951,,,3572.531
2009/12/15,2946.9395,3283.598,,,3594.51
2009/12/16,2931.4055,3262.862,,,3568.28
2009/12/17,2912.1089,3261.608,,,3571.052
2009/12/18,2841.1541,3154.815,,,3450.045
2009/12/21,2774.1475,3108.067,,,3386.326
2009/12/22,2787.9209,3126.615,,,3402.228
2009/12/23,2724.9814,3048.199,,,3303.729
2009/12/24,2753.5435,3080.874,,,3346.763
2009/12/25,2831.748,3149.226,,,3434.326
2009/12/28,2828.4138,3148.86,,,3432.82
2009/12/29,2871.1904,3190.172,,,3481.903
2009/12/30,2890.7117,3211.828,,,3503.816
2009/12/31,2924.0989,3264.998,,,3561.367
2010/1/4,2939.7869,3289.75,,,3592.468
2010/1/5,2917.8525,3254.468,,,3545.186
2010/1/6,2941.4729,3277.517,,,3558.7
2010/1/7,2921.8748,3253.991,,,3543.16
2010/1/8,2860.3718,3177.259,,,3456.908
2010/1/11,2872.4092,3301.611,,,3593.106
2010/1/12,2879.4717,3205.705,,,3477.842
2010/1/13,2929.6306,3204.976,,,3448.291
